,股票代码,股票名称,当前价,涨跌幅,市值,市盈率
34,DISCB,探索传播B,34.6041,9.85,18160779394,30.574
35,RUHN,如涵控股,6.87,9.74,568248828,-35.314
36,CCUR,CCUR Holdings,3.38,9.39,33439111,
37,ROSE,Rosehill Resources,3.91,9.22,170350207,6.389
38,EPE,EP能源,0.3684,9.19,94484828,-0.094
39,CXO,康休,113.89,8.75,22845936866,9.994
40,MHLD,梅登控股,0.8335,8.61,69145405,-0.121
41,PHAS,PhaseBio制药,14.66,8.51,359146911,-15.061
42,MRUS,Merus,14.72,8.47,343844141,-12.519
43,WES,Western Midstream,34.93,8.41,7647497249,20.701
44,LMFA,Lm Funding America,1.42,8.4,4450652,-1.553
45,ALEC,Alector,26.42,8.28,1819576232,-34.826
46,BKEP,Blueknight,1.2,8.11,48857828,-0.733
47,CPE,卡隆石油,8.21,8.03,1870860548,6.384
48,NM,Navios海事控股,4.59,8,57375000,-0.393
49,MTDR,Matador能源,20.95,7.88,2438335241,8.892
50,CNTF,泰克飞石,1.1644,7.81,12327164,-0.106
51,VTL,生命治疗,0.83,7.78,35166846,-0.961
52,GH,Guardant Health,77.54,7.56,6662872085,-78.329
53,CETXP,Cemtrex优先,2.1485,7.43,21623329,0
54,WKHS,Workhorse集团,0.6569,7.41,40397373,-1.084
55,DVN,戴文能源,33.48,7.38,14674284000,4.789
56,YUMA,Yuma Energy,0.1955,7.36,4528399,-0.291
57,EYES,Second Sight医疗产品,1.11,7.25,137859737,-3.928
58,EIX,爱迪生国际,67.13,7.24,21871706259,47.341
59,SLGG,Super League Gaming,6.99,7.21,58282760,-2.826
60,GRVY,GRAVITY Co,63.06,7.14,438197634,22.779
61,KOOL,热动力医疗,0.3121,7.14,6912749,-0.174
62,VIOT,云米,11.89,7.12,823580659,109.338
63,LEGH,Legacy住房,10.22,7.02,252668406,11.745
64,TORC,resTORbio,7.81,6.99,219112237,-5.825
65,CODA,Coda Octopus Group,13.75,6.92,146733455,22.943
66,NBL,诺贝尔能源,26.87,6.92,12993912506,-196.877
67,FTSV,Forty Seven,18.6,6.9,581657582,-8.266
68,CDEV,百年资源开发,9.63,6.88,2661705662,13.315
69,FNJN,Finjan,3.11,6.87,85823062,4.332
70,FVE,五星高级生活,0.5769,6.85,29332568,-0.396
71,HSDT,Helius Medical,2.03,6.84,52443385,-1.832
72,TLGT,Teligent,1.02,6.8,54922336,-1.515
73,CLDB,Cortland Bancorp,24,6.67,104390976,11.816
74,CNBKA,世纪银行,88.11,6.67,490588462,13.547
75,EOG,EOG能源,105.31,6.66,61085914193,17.866
76,WPX,WPX能源,14.31,6.63,6042402408,42.255
77,ROSEU,Rosehill Resources Inc. - Unit,4.05,6.58,52650000,0
78,ALQA,Alliqua BioMedical,2.95,6.5,14765372,-1.754
79,UNT,尤尼石油,15.45,6.4,839960834,-18.547
80,FANG,Diamondback能源,106.28,6.37,17470468158,20.659
81,IMTE,综合媒体科技,13.37,6.36,35345079,29.09
82,BAS,基本能源服务,3.38,6.29,90944612,-0.629
83,SECO,寺库,10.18,6.26,511487972,22.605
84,IDSA,美国工业服务,1.36,6.25,11026696,-31.595
85,DOW,陶氏化学(更名DWDP),58.3,6.21,43841600000,40.038
86,I,国际通信卫星,18.63,6.21,2572304200,-4.29
87,SESN,Sesen Bio,1.03,6.16,79779865,-2.368
88,NVMM,Novume Solutions,0.7,6.06,13557333,-2.377
89,SRCI,SRC Energy,6.31,6.05,1534946837,5.903
90,VNE,Veoneer,27.93,5.92,2434903102,-8.854
91,TGB,Taseko矿业,0.6189,5.92,152215187,-5.672
92,MNI,麦克拉奇报业,3.951,5.92,30962355,-0.388
93,SM,圣玛丽石油勘测,18.31,5.9,2055173816,4.042
94,TAIT,Taitron电子配件,3.0971,5.88,17652996,12.811
95,ASCMA,艾森媒体,0.7001,5.87,8733309,-0.013
96,ECA,加拿大能源,7.57,5.87,11286114575,10.558
97,SHIP,Seanergy海事控股,4.46,5.84,12533595,-0.595
98,SG,Sirius国际保险,13.07,5.83,1506082135,-34.782
99,AAOI,应用光电,13.09,5.82,260263404,-121.278
100,PPDF,拍拍贷,5.29,5.8,1590249293,4.322
